ids,standard_distributed,chronoid
10000,90,0
20000,95,0
30000,96.66666666666667,0
40000,97.5,0.005
50000,98,0.002
60000,98.33333333333333,0.0016666666666666668
70000,98.57142857142858,0.0014285714285714286
80000,98.75,0.00125
90000,98.88888888888889,0.0033333333333333335
100000,99,0.005
